/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/trl/trainer/ppo_config.py:141: UserWarning: The `optimize_cuda_cache` arguement will be deprecated soon, please use `optimize_device_cache` instead.
  warnings.warn(
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/transformers/models/auto/auto_factory.py:472: FutureWarning: The `use_auth_token` argument is deprecated and will be removed in v5 of Transformers. Please use `token` instead.
  warnings.warn(
Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:13<00:00,  6.74s/it]
Map: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████| 1700/1700 [00:00<00:00, 7070.36 examples/s]
{'loss': 0.9151, 'learning_rate': 3.1037735849056605e-06, 'epoch': 2.33}                                                                                  
{'loss': 0.7138, 'learning_rate': 3.0816037735849058e-06, 'epoch': 2.34}                                                                                  
{'loss': 0.8382, 'learning_rate': 3.059433962264151e-06, 'epoch': 2.34}                                                                                   
{'loss': 1.0063, 'learning_rate': 3.0372641509433964e-06, 'epoch': 2.35}                                                                                  
{'loss': 0.8236, 'learning_rate': 3.0150943396226417e-06, 'epoch': 2.35}                                                                                  
 79%|██████████████████████████████████████████████████████████████████████████████████████████▍                        | 500/636 [42:56<10:34,  4.67s/it]/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/bitsandbytes/autograd/_functions.py:322: UserWarning: MatMul8bitLt: inputs will be cast from torch.float32 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/bitsandbytes/autograd/_functions.py:322: UserWarning: MatMul8bitLt: inputs will be cast from torch.bfloat16 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
{'loss': 0.7692, 'learning_rate': 2.992924528301887e-06, 'epoch': 2.36}                                                                                   
{'loss': 0.9375, 'learning_rate': 2.9707547169811323e-06, 'epoch': 2.36}                                                                                  
{'loss': 0.8779, 'learning_rate': 2.9485849056603776e-06, 'epoch': 2.37}                                                                                  
{'loss': 0.9494, 'learning_rate': 2.926415094339623e-06, 'epoch': 2.37}                                                                                   
{'loss': 1.029, 'learning_rate': 2.904245283018868e-06, 'epoch': 2.38}                                                                                    
{'loss': 0.8312, 'learning_rate': 2.8820754716981135e-06, 'epoch': 2.38}                                                                                  
{'loss': 0.7203, 'learning_rate': 2.859905660377359e-06, 'epoch': 2.39}                                                                                   
{'loss': 0.7928, 'learning_rate': 2.837735849056604e-06, 'epoch': 2.39}                                                                                   
{'loss': 0.7677, 'learning_rate': 2.8155660377358494e-06, 'epoch': 2.4}                                                                                   
{'loss': 1.033, 'learning_rate': 2.7933962264150947e-06, 'epoch': 2.4}                                                                                    
{'loss': 0.6379, 'learning_rate': 2.77122641509434e-06, 'epoch': 2.4}                                                                                     
{'loss': 0.9679, 'learning_rate': 2.7490566037735853e-06, 'epoch': 2.41}                                                                                  
{'loss': 0.9599, 'learning_rate': 2.7268867924528306e-06, 'epoch': 2.41}                                                                                  
{'loss': 0.8708, 'learning_rate': 2.704716981132076e-06, 'epoch': 2.42}                                                                                   
{'loss': 0.9728, 'learning_rate': 2.6825471698113212e-06, 'epoch': 2.42}                                                                                  
{'loss': 0.8783, 'learning_rate': 2.660377358490566e-06, 'epoch': 2.43}                                                                                   
{'loss': 1.0147, 'learning_rate': 2.6382075471698114e-06, 'epoch': 2.43}                                                                                  
{'loss': 1.0662, 'learning_rate': 2.6160377358490563e-06, 'epoch': 2.44}                                                                                  
{'loss': 0.7572, 'learning_rate': 2.5938679245283016e-06, 'epoch': 2.44}                                                                                  
{'loss': 0.8973, 'learning_rate': 2.571698113207547e-06, 'epoch': 2.45}                                                                                   
{'loss': 1.0256, 'learning_rate': 2.5495283018867922e-06, 'epoch': 2.45}                                                                                  
{'loss': 0.8627, 'learning_rate': 2.5273584905660375e-06, 'epoch': 2.46}                                                                                  
{'loss': 0.9623, 'learning_rate': 2.505188679245283e-06, 'epoch': 2.46}                                                                                   
{'loss': 0.8403, 'learning_rate': 2.483018867924528e-06, 'epoch': 2.47}                                                                                   
{'loss': 0.9268, 'learning_rate': 2.4608490566037734e-06, 'epoch': 2.47}                                                                                  
{'loss': 0.761, 'learning_rate': 2.4386792452830187e-06, 'epoch': 2.48}                                                                                   
{'loss': 0.7838, 'learning_rate': 2.416509433962264e-06, 'epoch': 2.48}                                                                                   
{'loss': 1.0287, 'learning_rate': 2.3943396226415093e-06, 'epoch': 2.48}                                                                                  
{'loss': 1.0728, 'learning_rate': 2.3721698113207546e-06, 'epoch': 2.49}                                                                                  
{'loss': 0.8812, 'learning_rate': 2.35e-06, 'epoch': 2.49}                                                                                                
{'loss': 0.7911, 'learning_rate': 2.3278301886792453e-06, 'epoch': 2.5}                                                                                   
{'loss': 0.8751, 'learning_rate': 2.3056603773584906e-06, 'epoch': 2.5}                                                                                   
{'loss': 0.7333, 'learning_rate': 2.283490566037736e-06, 'epoch': 2.51}                                                                                   
{'loss': 1.0642, 'learning_rate': 2.261320754716981e-06, 'epoch': 2.51}                                                                                   
{'loss': 0.8445, 'learning_rate': 2.2391509433962265e-06, 'epoch': 2.52}                                                                                  
{'loss': 0.8379, 'learning_rate': 2.2169811320754718e-06, 'epoch': 2.52}                                                                                  
{'loss': 1.0705, 'learning_rate': 2.194811320754717e-06, 'epoch': 2.53}                                                                                   
{'loss': 0.7278, 'learning_rate': 2.1726415094339624e-06, 'epoch': 2.53}                                                                                  
{'loss': 1.0143, 'learning_rate': 2.1504716981132077e-06, 'epoch': 2.54}                                                                                  
{'loss': 1.0535, 'learning_rate': 2.128301886792453e-06, 'epoch': 2.54}                                                                                   
{'loss': 1.175, 'learning_rate': 2.1061320754716983e-06, 'epoch': 2.55}                                                                                   
{'loss': 1.1308, 'learning_rate': 2.0839622641509436e-06, 'epoch': 2.55}                                                                                  
{'loss': 1.0175, 'learning_rate': 2.061792452830189e-06, 'epoch': 2.56}                                                                                   
{'loss': 0.7421, 'learning_rate': 2.0396226415094338e-06, 'epoch': 2.56}                                                                                  
{'loss': 0.9001, 'learning_rate': 2.017452830188679e-06, 'epoch': 2.56}                                                                                   
{'loss': 0.9346, 'learning_rate': 1.9952830188679244e-06, 'epoch': 2.57}                                                                                  
{'loss': 0.846, 'learning_rate': 1.9731132075471697e-06, 'epoch': 2.57}                                                                                   
{'loss': 1.196, 'learning_rate': 1.950943396226415e-06, 'epoch': 2.58}                                                                                    
{'loss': 0.8088, 'learning_rate': 1.9287735849056603e-06, 'epoch': 2.58}                                                                                  
{'loss': 1.1764, 'learning_rate': 1.9066037735849058e-06, 'epoch': 2.59}                                                                                  
{'loss': 0.9433, 'learning_rate': 1.884433962264151e-06, 'epoch': 2.59}                                                                                   
{'loss': 0.872, 'learning_rate': 1.8622641509433962e-06, 'epoch': 2.6}                                                                                    
{'loss': 1.0711, 'learning_rate': 1.8400943396226415e-06, 'epoch': 2.6}                                                                                   
{'loss': 0.8501, 'learning_rate': 1.8179245283018868e-06, 'epoch': 2.61}                                                                                  
{'loss': 0.7825, 'learning_rate': 1.7957547169811321e-06, 'epoch': 2.61}                                                                                  
{'loss': 0.9689, 'learning_rate': 1.7735849056603774e-06, 'epoch': 2.62}                                                                                  
{'loss': 0.9788, 'learning_rate': 1.7514150943396227e-06, 'epoch': 2.62}                                                                                  
{'loss': 1.0371, 'learning_rate': 1.729245283018868e-06, 'epoch': 2.63}                                                                                   
{'loss': 0.9213, 'learning_rate': 1.7070754716981133e-06, 'epoch': 2.63}                                                                                  
{'loss': 0.8118, 'learning_rate': 1.6849056603773586e-06, 'epoch': 2.64}                                                                                  
{'loss': 0.9448, 'learning_rate': 1.662735849056604e-06, 'epoch': 2.64}                                                                                   
{'loss': 1.0785, 'learning_rate': 1.6405660377358492e-06, 'epoch': 2.64}                                                                                  
{'loss': 0.7159, 'learning_rate': 1.6183962264150943e-06, 'epoch': 2.65}                                                                                  
{'loss': 0.8911, 'learning_rate': 1.5962264150943396e-06, 'epoch': 2.65}                                                                                  
{'loss': 0.8676, 'learning_rate': 1.574056603773585e-06, 'epoch': 2.66}                                                                                   
{'loss': 0.7764, 'learning_rate': 1.5518867924528302e-06, 'epoch': 2.66}                                                                                  
{'loss': 0.9868, 'learning_rate': 1.5297169811320755e-06, 'epoch': 2.67}                                                                                  
{'loss': 0.9116, 'learning_rate': 1.5075471698113208e-06, 'epoch': 2.67}                                                                                  
{'loss': 1.0243, 'learning_rate': 1.4853773584905661e-06, 'epoch': 2.68}                                                                                  
{'loss': 1.0921, 'learning_rate': 1.4632075471698115e-06, 'epoch': 2.68}                                                                                  
{'loss': 0.8058, 'learning_rate': 1.4410377358490568e-06, 'epoch': 2.69}                                                                                  
{'loss': 0.5899, 'learning_rate': 1.418867924528302e-06, 'epoch': 2.69}                                                                                   
{'loss': 0.9455, 'learning_rate': 1.3966981132075474e-06, 'epoch': 2.7}                                                                                   
{'loss': 0.9586, 'learning_rate': 1.3745283018867927e-06, 'epoch': 2.7}                                                                                   
{'loss': 1.0544, 'learning_rate': 1.352358490566038e-06, 'epoch': 2.71}                                                                                   
{'loss': 0.7421, 'learning_rate': 1.330188679245283e-06, 'epoch': 2.71}                                                                                   
{'loss': 0.9165, 'learning_rate': 1.3080188679245282e-06, 'epoch': 2.72}                                                                                  
{'loss': 0.7568, 'learning_rate': 1.2858490566037735e-06, 'epoch': 2.72}                                                                                  
{'loss': 1.0068, 'learning_rate': 1.2636792452830188e-06, 'epoch': 2.72}                                                                                  
{'loss': 1.0263, 'learning_rate': 1.241509433962264e-06, 'epoch': 2.73}                                                                                   
{'loss': 1.0552, 'learning_rate': 1.2193396226415094e-06, 'epoch': 2.73}                                                                                  
{'loss': 0.9126, 'learning_rate': 1.1971698113207547e-06, 'epoch': 2.74}                                                                                  
{'loss': 0.8424, 'learning_rate': 1.175e-06, 'epoch': 2.74}                                                                                               
{'loss': 0.8263, 'learning_rate': 1.1528301886792453e-06, 'epoch': 2.75}                                                                                  
{'loss': 0.9611, 'learning_rate': 1.1306603773584906e-06, 'epoch': 2.75}                                                                                  
{'loss': 1.0088, 'learning_rate': 1.1084905660377359e-06, 'epoch': 2.76}                                                                                  
{'loss': 0.8783, 'learning_rate': 1.0863207547169812e-06, 'epoch': 2.76}                                                                                  
{'loss': 1.1189, 'learning_rate': 1.0641509433962265e-06, 'epoch': 2.77}                                                                                  
{'loss': 0.7794, 'learning_rate': 1.0419811320754718e-06, 'epoch': 2.77}                                                                                  
{'loss': 0.9081, 'learning_rate': 1.0198113207547169e-06, 'epoch': 2.78}                                                                                  
{'loss': 1.0236, 'learning_rate': 9.976415094339622e-07, 'epoch': 2.78}                                                                                   
{'loss': 0.9015, 'learning_rate': 9.754716981132075e-07, 'epoch': 2.79}                                                                                   
{'loss': 0.955, 'learning_rate': 9.533018867924529e-07, 'epoch': 2.79}                                                                                    
{'loss': 1.0149, 'learning_rate': 9.311320754716981e-07, 'epoch': 2.8}                                                                                    
{'loss': 0.7943, 'learning_rate': 9.089622641509434e-07, 'epoch': 2.8}                                                                                    
{'loss': 0.8213, 'learning_rate': 8.867924528301887e-07, 'epoch': 2.8}                                                                                    
{'loss': 0.9442, 'learning_rate': 8.64622641509434e-07, 'epoch': 2.81}                                                                                    
{'loss': 0.6224, 'learning_rate': 8.424528301886793e-07, 'epoch': 2.81}                                                                                   
{'loss': 0.7379, 'learning_rate': 8.202830188679246e-07, 'epoch': 2.82}                                                                                   
{'loss': 0.8471, 'learning_rate': 7.981132075471698e-07, 'epoch': 2.82}                                                                                   
 94%|████████████████████████████████████████████████████████████████████████████████████████████████████████████▍      | 600/636 [51:18<02:50,  4.74s/it]/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/bitsandbytes/autograd/_functions.py:322: UserWarning: MatMul8bitLt: inputs will be cast from torch.float32 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/bitsandbytes/autograd/_functions.py:322: UserWarning: MatMul8bitLt: inputs will be cast from torch.bfloat16 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
{'loss': 0.9535, 'learning_rate': 7.759433962264151e-07, 'epoch': 2.83}                                                                                   
{'loss': 0.7379, 'learning_rate': 7.537735849056604e-07, 'epoch': 2.83}                                                                                   
{'loss': 0.9548, 'learning_rate': 7.316037735849057e-07, 'epoch': 2.84}                                                                                   
{'loss': 1.1167, 'learning_rate': 7.09433962264151e-07, 'epoch': 2.84}                                                                                    
{'loss': 0.9052, 'learning_rate': 6.872641509433963e-07, 'epoch': 2.85}                                                                                   
{'loss': 0.6535, 'learning_rate': 6.650943396226415e-07, 'epoch': 2.85}                                                                                   
{'loss': 0.8352, 'learning_rate': 6.429245283018867e-07, 'epoch': 2.86}                                                                                   
{'loss': 0.839, 'learning_rate': 6.20754716981132e-07, 'epoch': 2.86}                                                                                     
{'loss': 1.1124, 'learning_rate': 5.985849056603773e-07, 'epoch': 2.87}                                                                                   
{'loss': 1.0892, 'learning_rate': 5.764150943396226e-07, 'epoch': 2.87}                                                                                   
{'loss': 1.0238, 'learning_rate': 5.542452830188679e-07, 'epoch': 2.88}                                                                                   
{'loss': 1.0299, 'learning_rate': 5.320754716981132e-07, 'epoch': 2.88}                                                                                   
{'loss': 0.983, 'learning_rate': 5.099056603773584e-07, 'epoch': 2.88}                                                                                    
{'loss': 0.9269, 'learning_rate': 4.877358490566037e-07, 'epoch': 2.89}                                                                                   
{'loss': 0.8636, 'learning_rate': 4.6556603773584905e-07, 'epoch': 2.89}                                                                                  
{'loss': 0.7376, 'learning_rate': 4.4339622641509435e-07, 'epoch': 2.9}                                                                                   
{'loss': 0.9799, 'learning_rate': 4.2122641509433966e-07, 'epoch': 2.9}                                                                                   
{'loss': 1.0785, 'learning_rate': 3.990566037735849e-07, 'epoch': 2.91}                                                                                   
{'loss': 1.0076, 'learning_rate': 3.768867924528302e-07, 'epoch': 2.91}                                                                                   
{'loss': 0.7944, 'learning_rate': 3.547169811320755e-07, 'epoch': 2.92}                                                                                   
{'loss': 0.8707, 'learning_rate': 3.3254716981132077e-07, 'epoch': 2.92}                                                                                  
{'loss': 0.8609, 'learning_rate': 3.10377358490566e-07, 'epoch': 2.93}                                                                                    
{'loss': 1.0257, 'learning_rate': 2.882075471698113e-07, 'epoch': 2.93}                                                                                   
{'loss': 1.0391, 'learning_rate': 2.660377358490566e-07, 'epoch': 2.94}                                                                                   
{'loss': 0.9164, 'learning_rate': 2.4386792452830187e-07, 'epoch': 2.94}                                                                                  
{'loss': 0.7876, 'learning_rate': 2.2169811320754718e-07, 'epoch': 2.95}                                                                                  
{'loss': 0.8713, 'learning_rate': 1.9952830188679245e-07, 'epoch': 2.95}                                                                                  
{'loss': 0.6644, 'learning_rate': 1.7735849056603776e-07, 'epoch': 2.96}                                                                                  
{'loss': 1.0217, 'learning_rate': 1.55188679245283e-07, 'epoch': 2.96}                                                                                    
{'loss': 0.7107, 'learning_rate': 1.330188679245283e-07, 'epoch': 2.96}                                                                                   
{'loss': 0.8676, 'learning_rate': 1.1084905660377359e-07, 'epoch': 2.97}                                                                                  
{'loss': 0.9005, 'learning_rate': 8.867924528301888e-08, 'epoch': 2.97}                                                                                   
{'loss': 0.9418, 'learning_rate': 6.650943396226416e-08, 'epoch': 2.98}                                                                                   
{'loss': 0.8392, 'learning_rate': 4.433962264150944e-08, 'epoch': 2.98}                                                                                   
{'loss': 1.0358, 'learning_rate': 2.216981132075472e-08, 'epoch': 2.99}                                                                                   
{'loss': 0.9377, 'learning_rate': 0.0, 'epoch': 2.99}                                                                                                     
{'train_runtime': 3273.8564, 'train_samples_per_second': 1.558, 'train_steps_per_second': 0.194, 'train_loss': 1.1841015440862883, 'epoch': 2.99}         
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 636/636 [54:33<00:00,  5.15s/it]
